name,type,value,date,,,,,,,,,,,,,,,
金华,上,145,2010,,,,,,,,,,,,,,,
上饶,南,114,2010,,,,,,,,,,,,,,,
鹰潭,南,168,2010,,,,,,,,,,,,,,,
南昌,南,208,2010,,,,,,,,,,,,,,,
长沙,广,153,2010,,,,,,,,,,,,,,,
长沙南,广,147,2010,,,,,,,,,,,,,,,
株洲,广,198,2010,,,,,,,,,,,,,,,
衡阳,广,138,2010,,,,,,,,,,,,,,,
广州,广,189,2010,,,,,,,,,,,,,,,
广州东,广,239,2010,,,,,,,,,,,,,,,
广州南,广,147,2010,,,,,,,,,,,,,,,
东莞,广,220,2010,,,,,,,,,,,,,,,
深圳,广,230,2010,,,,,,,,,,,,,,,
深圳北,广,0,2010,,,,,,,,,,,,,,,
成都,成,193,2010,,,,,,,,,,,,,,,
成都东,成,0,2010,,,,,,,,,,,,,,,
哈尔滨,哈,203,2011,,,,,,,,,,,,,,,
长春,沈,222,2011,,,,,,,,,,,,,,,
沈阳北,沈,179,2011,,,,,,,,,,,,,,,
沈阳,沈,148,2011,,,,,,,,,,,,,,,
北京,京,185,2011,,,,,,,,,,,,,,,
北京西,京,240,2011,,,,,,,,,,,,,,,
北京南,京,309,2011,,,,,,,,,,,,,,,
天津,京,302,2011,,,,,,,,,,,,,,,
石家庄,京,165,2011,,,,,,,,,,,,,,,
郑州,郑,330,2011,,,,,,,,,,,,,,,
郑州东,郑,0,2011,,,,,,,,,,,,,,,
汉口,武,125,2011,,,,,,,,,,,,,,,
武昌,武,212,2011,,,,,,,,,,,,,,,
武汉,武,140,2011,,,,,,,,,,,,,,,
西安,西,196,2011,,,,,,,,,,,,,,,
西安北,西,30,2011,,,,,,,,,,,,,,,
宝鸡,西,124,2011,,,,,,,,,,,,,,,
济南西,济,136,2011,,,,,,,,,,,,,,,
徐州,上,178,2011,,,,,,,,,,,,,,,
徐州东,上,94,2011,,,,,,,,,,,,,,,
合肥,上,184,2011,,,,,,,,,,,,,,,
合肥南,上,0,2011,,,,,,,,,,,,,,,
南京,上,303,2011,,,,,,,,,,,,,,,
南京南,上,200,2011,,,,,,,,,,,,,,,
镇江,上,211,2011,,,,,,,,,,,,,,,
常州,上,246,2011,,,,,,,,,,,,,,,
无锡,上,283,2011,,,,,,,,,,,,,,,
苏州,上,275,2011,,,,,,,,,,,,,,,
上海,上,213,2011,,,,,,,,,,,,,,,
上海南,上,104,2011,,,,,,,,,,,,,,,
上海虹桥,上,376,2011,,,,,,,,,,,,,,,
杭州,上,217,2011,,,,,,,,,,,,,,,
杭州东,上,0,2011,,,,,,,,,,,,,,,
义乌,上,142,2011,,,,,,,,,,,,,,,
金华,上,162,2011,,,,,,,,,,,,,,,
上饶,南,129,2011,,,,,,,,,,,,,,,
鹰潭,南,192,2011,,,,,,,,,,,,,,,
南昌,南,233,2011,,,,,,,,,,,,,,,
长沙,广,191,2011,,,,,,,,,,,,,,,
长沙南,广,181,2011,,,,,,,,,,,,,,,
株洲,广,224,2011,,,,,,,,,,,,,,,
衡阳,广,173,2011,,,,,,,,,,,,,,,
广州,广,194,2011,,,,,,,,,,,,,,,
广州东,广,283,2011,,,,,,,,,,,,,,,
广州南,广,282,2011,,,,,,,,,,,,,,,
东莞,广,199,2011,,,,,,,,,,,,,,,
深圳,广,239,2011,,,,,,,,,,,,,,,
深圳北,广,0,2011,,,,,,,,,,,,,,,
成都,成,190,2011,,,,,,,,,,,,,,,
成都东,成,48,2011,,,,,,,,,,,,,,,
哈尔滨,哈,193,2012,,,,,,,,,,,,,,,
长春,沈,217,2012,,,,,,,,,,,,,,,
沈阳北,沈,172,2012,,,,,,,,,,,,,,,
沈阳,沈,164,2012,,,,,,,,,,,,,,,
北京,京,195,2012,,,,,,,,,,,,,,,
北京西,京,209,2012,,,,,,,,,,,,,,,
北京南,京,262,2012,,,,,,,,,,,,,,,
天津,京,281,2012,,,,,,,,,,,,,,,
石家庄,京,166,2012,,,,,,,,,,,,,,,
郑州,郑,302,2012,,,,,,,,,,,,,,,
郑州东,郑,34,2012,,,,,,,,,,,,,,,
汉口,武,146,2012,,,,,,,,,,,,,,,
武昌,武,202,2012,,,,,,,,,,,,,,,
武汉,武,151,2012,,,,,,,,,,,,,,,
西安,西,197,2012,,,,,,,,,,,,,,,
西安北,西,40,2012,,,,,,,,,,,,,,,
宝鸡,西,120,2012,,,,,,,,,,,,,,,
济南西,济,119,2012,,,,,,,,,,,,,,,
徐州,上,159,2012,,,,,,,,,,,,,,,
徐州东,上,79,2012,,,,,,,,,,,,,,,
合肥,上,157,2012,,,,,,,,,,,,,,,
合肥南,上,0,2012,,,,,,,,,,,,,,,
南京,上,265,2012,,,,,,,,,,,,,,,
南京南,上,162,2012,,,,,,,,,,,,,,,
镇江,上,186,2012,,,,,,,,,,,,,,,
常州,上,226,2012,,,,,,,,,,,,,,,
无锡,上,239,2012,,,,,,,,,,,,,,,
苏州,上,237,2012,,,,,,,,,,,,,,,
上海,上,184,2012,,,,,,,,,,,,,,,
上海南,上,98,2012,,,,,,,,,,,,,,,
上海虹桥,上,288,2012,,,,,,,,,,,,,,,
杭州,上,182,2012,,,,,,,,,,,,,,,
杭州东,上,0,2012,,,,,,,,,,,,,,,
义乌,上,133,2012,,,,,,,,,,,,,,,
金华,上,151,2012,,,,,,,,,,,,,,,
上饶,南,95,2012,,,,,,,,,,,,,,,
鹰潭,南,179,2012,,,,,,,,,,,,,,,
南昌,南,218,2012,,,,,,,,,,,,,,,
长沙,广,168,2012,,,,,,,,,,,,,,,
长沙南,广,136,2012,,,,,,,,,,,,,,,
株洲,广,212,2012,,,,,,,,,,,,,,,
衡阳,广,154,2012,,,,,,,,,,,,,,,
广州,广,185,2012,,,,,,,,,,,,,,,
广州东,广,212,2012,,,,,,,,,,,,,,,
广州南,广,249,2012,,,,,,,,,,,,,,,
东莞,广,184,2012,,,,,,,,,,,,,,,
深圳,广,206,2012,,,,,,,,,,,,,,,
深圳北,广,78,2012,,,,,,,,,,,,,,,
成都,成,163,2012,,,,,,,,,,,,,,,
成都东,成,50,2012,,,,,,,,,,,,,,,
哈尔滨,哈,177,2013,,,,,,,,,,,,,,,
长春,沈,248,2013,,,,,,,,,,,,,,,
沈阳北,沈,261,2013,,,,,,,,,,,,,,,
沈阳,沈,192,2013,,,,,,,,,,,,,,,
北京,京,211,2013,,,,,,,,,,,,,,,
北京西,京,257,2013,,,,,,,,,,,,,,,
北京南,京,304,2013,,,,,,,,,,,,,,,
天津,京,309,2013,,,,,,,,,,,,,,,
石家庄,京,256,2013,,,,,,,,,,,,,,,
郑州,郑,281,2013,,,,,,,,,,,,,,,
郑州东,郑,91,2013,,,,,,,,,,,,,,,
汉口,武,170,2013,,,,,,,,,,,,,,,
武昌,武,196,2013,,,,,,,,,,,,,,,
武汉,武,190,2013,,,,,,,,,,,,,,,
西安,西,202,2013,,,,,,,,,,,,,,,
西安北,西,50,2013,,,,,,,,,,,,,,,
宝鸡,西,120,2013,,,,,,,,,,,,,,,
济南西,济,157,2013,,,,,,,,,,,,,,,
徐州,上,170,2013,,,,,,,,,,,,,,,
徐州东,上,110,2013,,,,,,,,,,,,,,,
合肥,上,223,2013,,,,,,,,,,,,,,,
合肥南,上,0,2013,,,,,,,,,,,,,,,
南京,上,287,2013,,,,,,,,,,,,,,,
南京南,上,260,2013,,,,,,,,,,,,,,,
镇江,上,209,2013,,,,,,,,,,,,,,,
常州,上,265,2013,,,,,,,,,,,,,,,
无锡,上,281,2013,,,,,,,,,,,,,,,
苏州,上,303,2013,,,,,,,,,,,,,,,
上海,上,201,2013,,,,,,,,,,,,,,,
上海南,上,242,2013,,,,,,,,,,,,,,,
上海虹桥,上,334,2013,,,,,,,,,,,,,,,
杭州,上,145,2013,,,,,,,,,,,,,,,
杭州东,上,261,2013,,,,,,,,,,,,,,,
义乌,上,135,2013,,,,,,,,,,,,,,,
金华,上,156,2013,,,,,,,,,,,,,,,
上饶,南,95,2013,,,,,,,,,,,,,,,
鹰潭,南,163,2013,,,,,,,,,,,,,,,
南昌,南,216,2013,,,,,,,,,,,,,,,
长沙,广,163,2013,,,,,,,,,,,,,,,
长沙南,广,164,2013,,,,,,,,,,,,,,,
株洲,广,200,2013,,,,,,,,,,,,,,,
衡阳,广,149,2013,,,,,,,,,,,,,,,
广州,广,182,2013,,,,,,,,,,,,,,,
广州东,广,238,2013,,,,,,,,,,,,,,,
广州南,广,287,2013,,,,,,,,,,,,,,,
东莞,广,0,2013,,,,,,,,,,,,,,,
深圳,广,220,2013,,,,,,,,,,,,,,,
深圳北,广,82,2013,,,,,,,,,,,,,,,
成都,成,168,2013,,,,,,,,,,,,,,,
成都东,成,67,2013,,,,,,,,,,,,,,,
哈尔滨,哈,170,2014,,,,,,,,,,,,,,,
长春,沈,268,2014,,,,,,,,,,,,,,,
沈阳北,沈,271,2014,,,,,,,,,,,,,,,
沈阳,沈,228,2014,,,,,,,,,,,,,,,
北京,京,267,2014,,,,,,,,,,,,,,,
北京西,京,318,2014,,,,,,,,,,,,,,,
北京南,京,368,2014,,,,,,,,,,,,,,,
天津,京,314,2014,,,,,,,,,,,,,,,
石家庄,京,330,2014,,,,,,,,,,,,,,,
郑州,郑,309,2014,,,,,,,,,,,,,,,
郑州东,郑,137,2014,,,,,,,,,,,,,,,
汉口,武,212,2014,,,,,,,,,,,,,,,
武昌,武,223,2014,,,,,,,,,,,,,,,
武汉,武,281,2014,,,,,,,,,,,,,,,
西安,西,213,2014,,,,,,,,,,,,,,,
西安北,西,112,2014,,,,,,,,,,,,,,,
宝鸡,西,128,2014,,,,,,,,,,,,,,,
